"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 14 16:35:35 GMT 2024","Fri Jun 14 16:35:35 GMT 2024","320","tests.api","test_api_login","","","","test_should_return_422_on_wrong_username",""
"passed","Fri Jun 14 16:35:36 GMT 2024","Fri Jun 14 16:35:36 GMT 2024","306","tests.api","test_api_signup","","","","test_should_return_403_if_access_denied",""
"passed","Fri Jun 14 16:35:51 GMT 2024","Fri Jun 14 16:35:51 GMT 2024","693","tests","test_login","","","","test_successful_login",""
"passed","Fri Jun 14 16:35:52 GMT 2024","Fri Jun 14 16:35:53 GMT 2024","685","tests","test_login","","","","test_failed_login",""
"passed","Fri Jun 14 16:35:36 GMT 2024","Fri Jun 14 16:35:36 GMT 2024","18","tests.api","test_api_signup","","","","test_should_return_400_if_field_validation_failed",""
"passed","Fri Jun 14 16:35:36 GMT 2024","Fri Jun 14 16:35:36 GMT 2024","13","tests.api","test_api_signup","","","","test_should_return_400_if_username_or_password_too_short",""
"passed","Fri Jun 14 16:35:35 GMT 2024","Fri Jun 14 16:35:36 GMT 2024","355","tests.api","test_api_signup","","","","test_successful_api_signup",""
"passed","Fri Jun 14 16:35:46 GMT 2024","Fri Jun 14 16:35:49 GMT 2024","2866","tests","test_edit","","","","test_edit",""
"passed","Fri Jun 14 16:35:50 GMT 2024","Fri Jun 14 16:35:50 GMT 2024","46","tests","test_home","","","","test_successful_login",""
"passed","Fri Jun 14 16:35:35 GMT 2024","Fri Jun 14 16:35:35 GMT 2024","22","tests.api","test_api_login","","","","test_should_return_400_if_username_or_password_too_short",""
"broken","Fri Jun 14 16:35:37 GMT 2024","Fri Jun 14 16:35:37 GMT 2024","0","tests","test_edit","","","","test_autocomplete",""
"passed","Fri Jun 14 16:35:36 GMT 2024","Fri Jun 14 16:35:36 GMT 2024","316","tests.api","test_api_signup","","","","test_should_return_422_if_username_exists",""
"passed","Fri Jun 14 16:35:34 GMT 2024","Fri Jun 14 16:35:35 GMT 2024","778","tests.api","test_api_login","","","","test_successful_api_login",""
"passed","Fri Jun 14 16:35:36 GMT 2024","Fri Jun 14 16:35:37 GMT 2024","311","tests.api","test_api_signup","","","","test_should_return_500_if_internal_server_error",""
