"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 14 16:27:19 GMT 2024","Fri Jun 14 16:27:20 GMT 2024","310","tests.api","test_api_login","","","","test_should_return_422_on_wrong_username",""
"passed","Fri Jun 14 16:27:28 GMT 2024","Fri Jun 14 16:27:31 GMT 2024","2646","tests","test_edit","","","","test_edit",""
"passed","Fri Jun 14 16:27:32 GMT 2024","Fri Jun 14 16:27:32 GMT 2024","38","tests","test_home","","","","test_successful_login",""
"passed","Fri Jun 14 16:27:26 GMT 2024","Fri Jun 14 16:27:27 GMT 2024","783","tests","test_edit","","","","test_autocomplete",""
"passed","Fri Jun 14 16:27:34 GMT 2024","Fri Jun 14 16:27:35 GMT 2024","680","tests","test_login","","","","test_failed_login",""
"passed","Fri Jun 14 16:27:19 GMT 2024","Fri Jun 14 16:27:19 GMT 2024","752","tests.api","test_api_login","","","","test_successful_api_login",""
"passed","Fri Jun 14 16:27:33 GMT 2024","Fri Jun 14 16:27:34 GMT 2024","683","tests","test_login","","","","test_successful_login",""
"passed","Fri Jun 14 16:27:19 GMT 2024","Fri Jun 14 16:27:19 GMT 2024","19","tests.api","test_api_login","","","","test_should_return_400_if_username_or_password_too_short",""
