"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 28 10:38:35 GMT 2024","Tue May 28 10:38:36 GMT 2024","684","tests","test_login","","","","test_failed_login",""
"passed","Tue May 28 10:38:16 GMT 2024","Tue May 28 10:38:17 GMT 2024","721","tests.api","test_api_login","","","","test_successful_api_login",""
"passed","Tue May 28 10:38:34 GMT 2024","Tue May 28 10:38:35 GMT 2024","685","tests","test_login","","","","test_successful_login",""
"passed","Tue May 28 10:38:33 GMT 2024","Tue May 28 10:38:33 GMT 2024","37","tests","test_home","","","","test_successful_login",""
"passed","Tue May 28 10:38:17 GMT 2024","Tue May 28 10:38:17 GMT 2024","17","tests.api","test_api_login","","","","test_should_return_400_if_username_or_password_too_short",""
"passed","Tue May 28 10:38:27 GMT 2024","Tue May 28 10:38:28 GMT 2024","985","tests","test_edit","","","","test_autocomplete",""
"passed","Tue May 28 10:38:29 GMT 2024","Tue May 28 10:38:32 GMT 2024","2716","tests","test_edit","","","","test_edit",""
"passed","Tue May 28 10:38:17 GMT 2024","Tue May 28 10:38:17 GMT 2024","307","tests.api","test_api_login","","","","test_should_return_422_on_wrong_username",""
