"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 12 12:54:43 GMT 2024","Wed Jun 12 12:54:43 GMT 2024","45","tests","test_home","","","","test_successful_login",""
"passed","Wed Jun 12 12:54:44 GMT 2024","Wed Jun 12 12:54:44 GMT 2024","691","tests","test_login","","","","test_successful_login",""
"passed","Wed Jun 12 12:54:35 GMT 2024","Wed Jun 12 12:54:35 GMT 2024","21","tests.api","test_api_login","","","","test_should_return_400_if_username_or_password_too_short",""
"passed","Wed Jun 12 12:54:34 GMT 2024","Wed Jun 12 12:54:35 GMT 2024","758","tests.api","test_api_login","","","","test_successful_api_login",""
"passed","Wed Jun 12 12:54:39 GMT 2024","Wed Jun 12 12:54:42 GMT 2024","2524","tests","test_edit","","","","test_edit",""
"passed","Wed Jun 12 12:54:35 GMT 2024","Wed Jun 12 12:54:35 GMT 2024","316","tests.api","test_api_login","","","","test_should_return_422_on_wrong_username",""
"passed","Wed Jun 12 12:54:37 GMT 2024","Wed Jun 12 12:54:38 GMT 2024","673","tests","test_edit","","","","test_autocomplete",""
"passed","Wed Jun 12 12:54:45 GMT 2024","Wed Jun 12 12:54:46 GMT 2024","691","tests","test_login","","","","test_failed_login",""
