"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 14 16:43:52 GMT 2024","Fri Jun 14 16:43:52 GMT 2024","316","tests.api","test_api_signup","","","","test_should_return_422_if_username_exists",""
"passed","Fri Jun 14 16:43:52 GMT 2024","Fri Jun 14 16:43:53 GMT 2024","305","tests.api","test_api_signup","","","","test_should_return_500_if_internal_server_error",""
"passed","Fri Jun 14 16:43:52 GMT 2024","Fri Jun 14 16:43:52 GMT 2024","29","tests.api","test_api_signup","","","","test_should_return_400_if_field_validation_failed",""
"passed","Fri Jun 14 16:43:50 GMT 2024","Fri Jun 14 16:43:51 GMT 2024","740","tests.api","test_api_login","","","","test_successful_api_login",""
"passed","Fri Jun 14 16:44:01 GMT 2024","Fri Jun 14 16:44:02 GMT 2024","684","tests","test_login","","","","test_successful_login",""
"passed","Fri Jun 14 16:43:51 GMT 2024","Fri Jun 14 16:43:52 GMT 2024","316","tests.api","test_api_login","","","","test_should_return_422_on_wrong_username",""
"passed","Fri Jun 14 16:43:51 GMT 2024","Fri Jun 14 16:43:51 GMT 2024","17","tests.api","test_api_login","","","","test_should_return_400_if_username_or_password_too_short",""
"passed","Fri Jun 14 16:44:02 GMT 2024","Fri Jun 14 16:44:03 GMT 2024","683","tests","test_login","","","","test_failed_login",""
"failed","Fri Jun 14 16:43:52 GMT 2024","Fri Jun 14 16:43:52 GMT 2024","13","tests.api","test_api_signup","","","","test_should_return_403_if_access_denied",""
"passed","Fri Jun 14 16:43:55 GMT 2024","Fri Jun 14 16:43:55 GMT 2024","686","tests","test_edit","","","","test_autocomplete",""
"passed","Fri Jun 14 16:43:57 GMT 2024","Fri Jun 14 16:43:59 GMT 2024","2544","tests","test_edit","","","","test_edit",""
"passed","Fri Jun 14 16:43:52 GMT 2024","Fri Jun 14 16:43:52 GMT 2024","12","tests.api","test_api_signup","","","","test_should_return_400_if_username_or_password_too_short",""
"passed","Fri Jun 14 16:44:00 GMT 2024","Fri Jun 14 16:44:00 GMT 2024","39","tests","test_home","","","","test_successful_login",""
"passed","Fri Jun 14 16:43:52 GMT 2024","Fri Jun 14 16:43:52 GMT 2024","347","tests.api","test_api_signup","","","","test_successful_api_signup",""
