"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 12 10:15:27 GMT 2024","Wed Jun 12 10:15:27 GMT 2024","314","tests.api","test_api_login","","","","test_should_return_422_on_wrong_username",""
"passed","Wed Jun 12 10:15:42 GMT 2024","Wed Jun 12 10:15:43 GMT 2024","698","tests","test_login","","","","test_successful_login",""
"passed","Wed Jun 12 10:15:43 GMT 2024","Wed Jun 12 10:15:44 GMT 2024","693","tests","test_login","","","","test_failed_login",""
"passed","Wed Jun 12 10:15:35 GMT 2024","Wed Jun 12 10:15:36 GMT 2024","787","tests","test_edit","","","","test_autocomplete",""
"passed","Wed Jun 12 10:15:37 GMT 2024","Wed Jun 12 10:15:40 GMT 2024","2581","tests","test_edit","","","","test_edit",""
"passed","Wed Jun 12 10:15:27 GMT 2024","Wed Jun 12 10:15:27 GMT 2024","19","tests.api","test_api_login","","","","test_should_return_400_if_username_or_password_too_short",""
"passed","Wed Jun 12 10:15:26 GMT 2024","Wed Jun 12 10:15:27 GMT 2024","770","tests.api","test_api_login","","","","test_successful_api_login",""
"passed","Wed Jun 12 10:15:41 GMT 2024","Wed Jun 12 10:15:41 GMT 2024","41","tests","test_home","","","","test_successful_login",""
