"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 12 12:02:11 GMT 2024","Wed Jun 12 12:02:14 GMT 2024","2731","tests","test_edit","","","","test_edit",""
"passed","Wed Jun 12 12:02:09 GMT 2024","Wed Jun 12 12:02:10 GMT 2024","954","tests","test_edit","","","","test_autocomplete",""
"passed","Wed Jun 12 12:02:17 GMT 2024","Wed Jun 12 12:02:18 GMT 2024","682","tests","test_login","","","","test_failed_login",""
"passed","Wed Jun 12 12:01:52 GMT 2024","Wed Jun 12 12:01:53 GMT 2024","319","tests.api","test_api_login","","","","test_should_return_422_on_wrong_username",""
"passed","Wed Jun 12 12:02:15 GMT 2024","Wed Jun 12 12:02:15 GMT 2024","45","tests","test_home","","","","test_successful_login",""
"passed","Wed Jun 12 12:01:52 GMT 2024","Wed Jun 12 12:01:52 GMT 2024","837","tests.api","test_api_login","","","","test_successful_api_login",""
"passed","Wed Jun 12 12:01:52 GMT 2024","Wed Jun 12 12:01:52 GMT 2024","21","tests.api","test_api_login","","","","test_should_return_400_if_username_or_password_too_short",""
"passed","Wed Jun 12 12:02:16 GMT 2024","Wed Jun 12 12:02:17 GMT 2024","685","tests","test_login","","","","test_successful_login",""
