"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 12 12:27:00 GMT 2024","Wed Jun 12 12:27:01 GMT 2024","685","tests","test_login","","","","test_failed_login",""
"passed","Wed Jun 12 12:26:59 GMT 2024","Wed Jun 12 12:26:59 GMT 2024","678","tests","test_login","","","","test_successful_login",""
"passed","Wed Jun 12 12:26:43 GMT 2024","Wed Jun 12 12:26:43 GMT 2024","312","tests.api","test_api_login","","","","test_should_return_422_on_wrong_username",""
"passed","Wed Jun 12 12:26:54 GMT 2024","Wed Jun 12 12:26:57 GMT 2024","2674","tests","test_edit","","","","test_edit",""
"passed","Wed Jun 12 12:26:43 GMT 2024","Wed Jun 12 12:26:43 GMT 2024","15","tests.api","test_api_login","","","","test_should_return_400_if_username_or_password_too_short",""
"passed","Wed Jun 12 12:26:42 GMT 2024","Wed Jun 12 12:26:43 GMT 2024","774","tests.api","test_api_login","","","","test_successful_api_login",""
"passed","Wed Jun 12 12:26:58 GMT 2024","Wed Jun 12 12:26:58 GMT 2024","43","tests","test_home","","","","test_successful_login",""
"passed","Wed Jun 12 12:26:52 GMT 2024","Wed Jun 12 12:26:53 GMT 2024","803","tests","test_edit","","","","test_autocomplete",""
